age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
"[18, 33]",Government,"[39054, 184135]",Higher,9,Single,Clerical,Not-in-family,White,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 33]",Self-employed,"[39054, 184135]",Higher,9,Married,Management,Husband,White,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 33]",Private,"[39054, 184135]",Secondary,9,Separated,Manual,Not-in-family,White,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 33]",Private,"[39054, 184135]",Basic,9,Married,Manual,Husband,Black,Male,0,0,"[1, 20]",North-America,<=50K
"[18, 33]",Private,"[39054, 184135]",Higher,9,Married,Professional,Wife,Black,Female,0,0,"[1, 20]",Other,<=50K
"[18, 33]",Private,"[39054, 184135]",Higher,9,Married,Management,Wife,White,Female,0,0,"[1, 20]",North-America,<=50K
"[18, 33]",Private,"[39054, 184135]",Basic,9,Married,Service,Not-in-family,Black,Female,0,0,"[1, 20]",Other,<=50K
"[18, 36]",Self-employed,"[33397, 180052]",Secondary,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[20, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 180052]",Higher,"[9, 10]",Single,Professional,Not-in-family,White,Female,0,0,"[20, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 180052]",Higher,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[20, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 180052]",Secondary,"[9, 10]",Married,Management,Husband,Black,Male,0,0,"[20, 36]",North-America,>50K
"[18, 36]",Government,"[33397, 180052]",Higher,"[9, 10]",Married,Professional,Husband,Asian-Pac-Islander,Male,0,0,"[20, 36]",Other,>50K
"[18, 36]",Private,"[33397, 180052]",Higher,"[9, 10]",Single,Clerical,Own-child,White,Female,0,0,"[20, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 180052]",Higher,"[9, 10]",Single,Sales,Not-in-family,Black,Male,0,0,"[20, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 180052]",Higher,"[9, 10]",Married,Manual,Husband,Asian-Pac-Islander,Male,0,0,"[20, 36]",Other,>50K
"[19, 29]",Private,"[23740, 183285]",Basic,"[9, 10]",Married,Manual,Husband,Amer-Indian-Eskimo,Male,0,0,"[36, 38]",Central-America,<=50K
"[19, 29]",Self-employed,"[23740, 183285]",Secondary,"[9, 10]",Single,Manual,Own-child,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 29]",Private,"[23740, 183285]",Secondary,"[9, 10]",Single,Manual,Unmarried,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 29]",Private,"[23740, 183285]",Basic,"[9, 10]",Married,Sales,Husband,White,Male,0,0,"[36, 38]",North-America,<=50K
