age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
"[18, 36]",Government,"[33397, 184135]",Higher,"[9, 10]",Single,Clerical,Not-in-family,White,Male,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Self-employed,"[33397, 184135]",Higher,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Secondary,"[9, 10]",Separated,Manual,Not-in-family,White,Male,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Basic,"[9, 10]",Married,Manual,Husband,Black,Male,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Married,Professional,Wife,Black,Female,0,0,"[1, 36]",Other,<=50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Married,Management,Wife,White,Female,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Basic,"[9, 10]",Married,Service,Not-in-family,Black,Female,0,0,"[1, 36]",Other,<=50K
"[18, 36]",Self-employed,"[33397, 184135]",Secondary,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[1, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Single,Professional,Not-in-family,White,Female,0,0,"[1, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Married,Management,Husband,White,Male,0,0,"[1, 36]",North-America,>50K
"[18, 36]",Private,"[33397, 184135]",Secondary,"[9, 10]",Married,Management,Husband,Black,Male,0,0,"[1, 36]",North-America,>50K
"[18, 36]",Government,"[33397, 184135]",Higher,"[9, 10]",Married,Professional,Husband,Asian-Pac-Islander,Male,0,0,"[1, 36]",Other,>50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Single,Clerical,Own-child,White,Female,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Single,Sales,Not-in-family,Black,Male,0,0,"[1, 36]",North-America,<=50K
"[18, 36]",Private,"[33397, 184135]",Higher,"[9, 10]",Married,Manual,Husband,Asian-Pac-Islander,Male,0,0,"[1, 36]",Other,>50K
"[19, 37]",Private,"[23740, 183285]",Basic,"[9, 10]",Married,Manual,Husband,Amer-Indian-Eskimo,Male,0,0,"[36, 38]",Central-America,<=50K
"[19, 37]",Self-employed,"[23740, 183285]",Secondary,"[9, 10]",Single,Manual,Own-child,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Single,Manual,Unmarried,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Private,"[23740, 183285]",Basic,"[9, 10]",Married,Sales,Husband,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Self-employed,"[23740, 183285]",Higher,"[9, 10]",Separated,Management,Unmarried,White,Female,0,0,"[36, 38]",North-America,>50K
"[19, 37]",Private,"[23740, 183285]",Higher,"[9, 10]",Married,Professional,Husband,White,Male,0,0,"[36, 38]",North-America,>50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Separated,Service,Unmarried,Black,Female,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Government,"[23740, 183285]",Basic,"[9, 10]",Married,Manual,Husband,Black,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Private,"[23740, 183285]",Basic,"[9, 10]",Married,Manual,Husband,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Separated,Tech,Unmarried,White,Female,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Government,"[23740, 183285]",Higher,"[9, 10]",Married,Tech,Husband,White,Male,0,0,"[36, 38]",North-America,>50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Single,Manual,Own-child,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Other,"[23740, 183285]",Secondary,"[9, 10]",Married,Other,Husband,Asian-Pac-Islander,Male,0,0,"[36, 38]",Other,>50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Separated,Management,Not-in-family,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Private,"[23740, 183285]",Secondary,"[9, 10]",Married,Manual,Husband,White,Male,0,0,"[36, 38]",North-America,<=50K
"[19, 37]",Government,"[23740, 183285]",Higher,"[9, 10]",Single,Service,Not-in-family,White,Male,0,0,"[36, 38]",North-America,<=50K
"[18, 28]",Private,"[29810, 177578]",Secondary,"[9, 10]",Single,Sales,Own-child,Black,Male,0,0,"[38, 40]",North-America,<=50K
